,Datetime,Tweet Id,Text,Username
0,2022-09-20 21:47:37+00:00,1572341736109740033,@JasonGancedo Not me...lol...allergic reaction to cinnamon...my tongue will get rash,FriendlyMuslima
1,2022-09-20 20:10:54+00:00,1572317397192945666,"@JimmyJones1972 @guyfromottawa @AshleyFoxRPN @CheriDiNovo Been reading since 2015 and connecting with shingles survivors from all over the world. It can be far far worse than a “painful rash” depending on which vertebrae you are hit from.

I just don’t have the time today to educate you from scratch on the topic.

Sorry. ❤️",Annabel61736453
2,2022-09-20 20:08:54+00:00,1572316895801479168,@Smooheed @QueenVofCoffee Goodness 😳 seems a bit rash,IrishRogue333
3,2022-09-20 17:04:32+00:00,1572270496632414211,So many rash opinions on one app,jm3_bk
4,2022-09-20 03:44:27+00:00,1572069151090561025,I can never be poor because my sensitive skin can tell if something is cheap. I’ll instantly get a rash.,lowkeylole
5,2022-09-20 01:34:37+00:00,1572036474043785217,@fitnesspapi215 Ohhh yesss. I be feeling like imma have a rash on my cheek lol,iHateBooski
6,2022-09-19 23:43:11+00:00,1572008431795445761,@kb_augiewbb @SSenftner It was a long day. I think I’m getting a rash.,chargerbear1235
7,2022-09-19 22:51:57+00:00,1571995539344068608,@steaksdad Heat rash?,danielreher
8,2022-09-19 22:46:57+00:00,1571994279136079878,"@Gweenlian @therickygardner @catturd2 “F*ckin a man, I got a rash man….”",accountabletome
9,2022-09-19 20:03:31+00:00,1571953151024197634,@B_Money9293 @TylerHeadlee74 @DIRECTV @Matt__Rash @kuhn3 @keroninc @Slaug_terhouse3 @__ELEV8 @theeastregion Good job Tyler #StraBANG,Dr0K0rn
10,2022-09-19 19:54:51+00:00,1571950968786518017,"@bethfacemyer @HoneyTongueMuse Hahaha yeah, Neosporin on a diaper rash was like using a sledgehammer to kill an ant: effective but overkill 😂",jakecmelik
11,2022-09-19 19:38:24+00:00,1571946832762408961,@JasonIsbell People pay good $ for that buckle rash on the distressed 🎸,BradyChris
12,2022-09-19 13:34:59+00:00,1571855373329383425,@Joyhenderson78 I have had dry itchy nipples and this summer was worse than usual because I also always get heat rash and sun burn. I listen to some podcasts but it’s tough to even find info. Which Tiktok accounts do you follow?,trishaddayal
13,2022-09-19 13:00:29+00:00,1571846690256179200,"#Morning #dawnkeys for #lmao #lessons #ifyouknowyouknow

You are talking sh*t and someone gets on ya, you are farting and getting a rash on your ass. It's either that or ya naked on a sensitive donkey passing gas, creating a bald spot getting a hard-on.

#JokeoftheDay #funnyjoke https://t.co/6ET2IujROm",MrMagesticClown
14,2022-09-19 04:32:57+00:00,1571718966573412353,Meregali back out there in the wet rash guard. Rematch with Yuri in the Absolute final. We know Yuri’s tough no-engage game…,ivan_bezdomny
15,2022-09-19 03:04:02+00:00,1571696588623585282,Stella is protesting a rash on her butt. We did not pack diaper cream. Everywhere in the Midwest closes at 10. Going hunting at convenience stores for something comparable. Wish me luck 😂,jakecmelik
16,2022-09-18 18:21:03+00:00,1571564978338947075,@lTweetStuff @Fetal_Mistake She wouldn’t take proper care of him and he’d probably develop a diaper rash that would turn septic,EasonDavid_88
17,2022-09-18 17:33:50+00:00,1571553093023666177,"Sunshine, braids &amp; heat rash. 🥹✨✨ https://t.co/dSF8kCoztG",mizwulee
18,2022-09-18 15:23:22+00:00,1571520260930506753,@BamaProUpdates Hope that rash doesn’t necessitate any shots.,BurnerLJohnson
19,2022-09-18 15:17:46+00:00,1571518853590683649,"It was a tough game Friday night after the most difficult short game week I've ever seen. At the beginning of the week, a flu bug completely ravaged this roster, followed by a rash of injuries to starters. With that said, all of our goals are still very achievable‼️⚡️#BeatNevada https://t.co/bSQDfyCmj5",Falcon8fan
20,2022-09-18 14:40:30+00:00,1571509473411272705,"Thanks for the reminder, Patrick. Recalling Electric Church, the documentary built around long-buried Steve Rash 16 mm footage of Hendrix’s last big festival performance in the US, Byron Georgia 7/4/1970: https://t.co/hTgOqzzLKg More: https://t.co/zXF0orjBFx",Revkin
21,2022-09-18 13:31:55+00:00,1571492212944543745,@subaru_usa Is there a way to better secure the catalytic converters? There has been a rash of them stolen during the work day.,RobinCogan
22,2022-09-18 13:04:13+00:00,1571485242350870528,@jimsvolition @JesseKellyDC I’m not vaxxed and just recovered from Omicron- I only tested positive a few days where my vaxxed friends are testing positive for weeks - plus they have weird rashes and purple body spots,cactusapinyona
23,2022-09-18 05:10:02+00:00,1571365909658312704,"@J_me_86 @RonkePedersonMD If pokeweed or nightshade he would for a neighbor kid. They are dangerous and can really cause rash. Very abundant. Anything else he would never and call. He is just safe and would never let someone get sick or irritation under his watch, the parents would be so mad he would 🤔",MSTwitir3K
24,2022-09-18 04:59:57+00:00,1571363374197243905,"@DrNakae @RonkePedersonMD My husband did , and so did my mil - it was poke weed, eastern nightshade - hugely abundant and very dangerous/rash causing. Hugely abundant in northern states. My girl thinks she is a garden master.",MSTwitir3K
25,2022-09-18 04:26:01+00:00,1571354832501440512,Festival anxiety hitting hard af right now…,RobertA_Rash
26,2022-09-18 03:10:47+00:00,1571335900319125504,I ran so much from the field to the media room 😂 I have a rash from hauling it,ianmahan03
27,2022-09-18 02:41:20+00:00,1571328490594770944,These folks don’t even put sour cream on they shit ! Shit be drier than diaper rash,thebaldheadred
28,2022-09-18 00:18:59+00:00,1571292666125484034,Nothing broken! Just scuffed up and a lot of road rash,RobertCMahon
29,2022-09-17 23:43:36+00:00,1571283762108895233,@woahliltris Any sort of hives or rashes?? I would after you give birth if it’s still a issue follow up with a dermatologist maybe,KateyLynn23
30,2022-09-17 23:23:07+00:00,1571278606159970309,"On the 2nd jab  my left arm swelled, was very hot and a bad rash. Needless to say I am not getting any boosters. 😁🇺🇲🇺🇲🇺🇲",pgfry
31,2022-09-17 18:51:56+00:00,1571210363269529600,@jaypo1961 Seems to be a rash of right leg issues.,Todd_Rosiak
